essay_id,essay_text,essay_type,reference_text_id
1,"В финале текста было сказано: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" Я считаю, что главный герой воспользовался своим правом выбора и избрал военную карьеру сам, а не в результате гадания.
Рассказы отца, гимнастический городок, общение с солдатами и офицерами с самого детства настроили его на определённый лад (предложение N 11, 12, 18)
По мере взрослели свободного времени становилось всё меньше, но гимнастики он не бросил и преуспевал в ""военном строе"". Это значит, что герой нашёл в этом своё призвание. И даже если бы в результате гадания он выбрал книгу, то всеравно стал бы военным.",2,1
2,"В финале текста А.И.Деникина сказано: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" Как это понять?
Я понимаю это так: в детские годы для главного героя военная служба была не только опасной, но и увлекательной игрой, полной интересного общения. Обратимся к тексту, чтобы доказать свою точку зрения.
Во-первых, главный герой рассказывал, как мальчишкой он целыми часами проводил в гимнастическом городке 1-го Стрелкового батальона и стрелял в тире пограничников (предложение 12). Это говорит о том, что мальчику нравилось заниматься этим делом, ему было и страшно, и очень весело, когда пули свистели над головой.
Во-вторых, главный герой приобрёл приятелей среди офицерства, а еще более - среди солдат (предложение 18). У мальчика появилось большое окружение для общения, что делало его интерес к военному делу ещё больше.
Таким образом, главный герой выбрал военную карьеру, потому что в детские годы ему была очень интересна и увлекательна служба военных людей, не смотря на все трудности, сложность и опасность этой работы.",2,1
6,"Смысл высказывания: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" заключается в том, что когда мальчик родился, ему почти сразу на гадали кем он будет в жизни.
Я думаю военная карьера не была следствием гадания, ведь полностью гадание не сбылось. Он не стал пьяницей. Мальчик выбрал военную карьеру, по тому что у у него эта любовь была с детства. В младенческом возрасте он взял в руки шпагу, хоть и игрушечную. А когда подрос, уже ходил на стрельбища стрелять, и к него было много друзей солдатов. Ему не лень было ходить за три версты на полигон чтобы позаниматься с ними. Ведь ему это нравилось. А еще у него отец был военным и рассказывал ему много разных историй.
В детстве закладывается много основных жизненных ценностей, ведь чем в детстве ты занимался и что любил делать, может отразиться на твоей будущей профессии.",2,1
7,"Смысл финала текста Антона Ивановича Деникина я понимаю так: когда в детстве родители мальчика устроили гадание; рассказчик дотронулся сабли и поиграл рюмкой. Это означало, что сын будет рубакой и пьяницей. Мальчик вырос и стал военным. Возможно, это было результатом гадания.
В предложениях 3-4 говорится о том, как рассказчик предопределил свою судьбу, дотронувшись до сабли и рюмки. В предложениях 7-8 рассказчик думает о гадании. Оно как бы сбылось и не сбылось. Герой стал военным, а пьяницей, к счастью, не стал.
Действительно старинные гадания могут предопределять судьбу, но думаю, что всегда верить им не стоит.",2,1
8,"""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" - так заканчивает текст А. Деникин Смысл этих финальных предложений я понимаю так. Вышеупомянутый военачальник считает, что будущее каждого человека заключается в его личном выборе и не должно зависеть от чьих-либо предубеждений и стереотипов. Убедимся в этом, обратившись к тексту.
Так, содержание предложения 7 говорит о том, что нельзя слепо верить различным гаданиям и предсказаниям. Наша жизнь лежит в наших руках! Не надо отдавать своё будущее на чьё-то попечение, нужно самому выбирать, как быть и что делать. Только так можно добиться успеха на тернистом пути жизни.
А вот ещё один пример. В предложении 22 А. Деникин говорит, что он пошёл по военной карьере, хотя имел широкие перспективы для поступления в высшие технические заведения. Другими словами, он сделал выбор в пользу того, что велело ему собственное сердце, а не жизненные обстоятельства. Именно поэтому этот человек понял своё предназначение и добился желаемого.
Таким образом, я думаю, что смысл финала текста говорит о необходимости принятия собственных решений, умении делать правильный выбор в любых ситуациях, в которые нас может забросить жизнь. Только так можно стать настоящим человеком.",2,1
9,"Смысл финала текста я понимаю так: когда мальчик был маленьким, его родители устроили гадание, в результате чего мальчик дотронулся до сабли. Сабля, действительно, предрешила его жизнь. Было ли это следствием гадания, он не знает. Приведу аргументацию из текста.
Во-первых, в предложениях 1-8, говорится о том, как родители устраивали гадание. Мальчик дотронулся до рюмки и сабли. Пьяницей он не стал, а сабля предрешила ему жизнь. Гадание и сбылось, и не сбылось.
Во-вторых, в предложениях 22-23, говорится, что мальчик, после окончания школы мог поступить в любое высшее заведение, но он выбрал военную карьеру.
Можно сделать вывод, что на выбор мальчика повлияло и гадание, и его собственное решение.",2,1
10,"В данном мне тексте очень необычный финал. Деникин употребил фразу: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" Попробую объяснить, как я понимаю смысл данного высказывания.
Во-первых, рассказы отца о военной службе вызывали огромный интерес у мальчика. Вследствии чего мальчик стал увлекаться военным делом (11-16)
Во-вторых, даже после перехода в высшие классы, герой произведения по-прежнему увлекался гимнастикой и военным строем (21)
Таким образом, именно рассказы отца о военной службе и игры в гимнастическом городке ещё в детстве подтолкнули героя произведения к выбору будущей профессии.",2,1
11,"В тексте Деникина Антона Ивановича рассказывается о мальчике, который выбрал военную карьеру и думал было ли это следствием гадания, которое родители устроили ему в детстве. Попробуем доказать это.
По-первых, отец с детства рассказывал мальчику свой тернистый путь от солдата до капитана, детские игры - всё это настраивало на определённый лад. Мальчик часами проводил время в гимнастическом городке, стрелял в тире (предложения 11-12).
Во-вторых, в высших классах воинские упражнения мальчика почти прекратились. Во всяком случае училище он окончил на высокие баллы и мог поступить в любое высшее техническое заведение (предложения 20-22).
Итак, мальчик избрал военную карьеру, возможно, потому что в детстве родители устроили ему гадание. Со временем у него появились другие интересы, но он всё равно избрал военную карьеру.",2,1
12,"В финале текста Деникина Антона Ивановича сказано: ""Я избрал военную карьеру. Было ли это последствием гадания? Не знаю..."" Я понимаю это так: для мальчика военная служба была не только опасное, но и увлекательной игрой, полной интересного общения. Попробую подтвердить свои мысли примерами из текста.
Во-первых, в предложениях (11-17) говорится о том, что рассказы отца мальчика, прошедшего тернистый путь от солдата и до капитана, детские игры подталкивали на определенный лад и мальчик по целым часам пропала в гимнастическом городке и стрелял в тире, ходил на стрельбище стрелковых рот, эти увлечения придовали мальчику вес у других мальчишек и вызывали их зависть. Это значит, что мальчика с малых лет интересовало все связанное со службой.
Во-вторых, в предложении (19) сказано: Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не бременем трудов и забот, как это бывает в действительности"". Это значит, что мальчик представлял жизнь офицера весёлой и необремененой трудом и заботами.
Таким образом, я думаю, что мальчик шел к карьере на военной службе с самого детства и он смог не сдаться в середине пути. Это был его выбор с самого детства.",2,1
13,"""Я избрал военную карьеру Было ли это следствием гадания? Не знаю..."" Я понимаю это так. На выбор профессии оказывают влияние многие факторы, но решение человек принимает, опираясь на своё влечение к тому или иному предмету деятельности.
Я думаю, рассказчика с детства интересовала военная карьера. Его вдохновляли рассказы отца, ему нравилось проводить время в гимнастическом городке. Мальчик видел, как живут солдаты. Эта жизнь казалась ему интересное, она устраивала его. (19)
Я считаю, рассказчик не изменил военному делу. Конечно, кроме него у подростка были и другие увлечения, но они не смогли перерасти во что-то большее. Встав перед выбором, рассказчик избрал то. К чему была расположена его душа. Увлечение стало карьерой. (23)
Таким образом, принимая важное решение, человек слушает свое сердце и выбирает то, к чему имеет большее расположение его душа.",2,1
14,"""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...""
В фрагменте данного текста говорится о том, что главный герой рассказа посвятил свою жизнь военной карьере. Но он не знал, оказало ли какое-то воздействие на его было гадание.
Результаты гадания и последующие события были довольно противоречивы. ""Старинное это гаданье, однако, и сбылось, и не сбылось. Сабля, действительно, предопределила мою жизненную дорогу, но и от книжной премудрости я не отрёкся"". Я считаю, что гадание - это пережиток прошлого и возлагать на него свою судьбу нецелесообразно.
Не нужно слепо верить гаданиям, предсказаниям, человек сам выбирает свою судьбу, свою будущую профессию, ориентируясь на свои увлечения и способности. Выбирая профессию, главный герой исходил из личных предпочтений и интересов: ""Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть... Словом, прижился в военной среде, приобретя приятелей среди
офицерства, а ещё более – среди солдат"".
На судьбу человека влияют не гадания, а лишь он сам, его стремления, амбиции, цели, жизненные ценности.",2,1
15,"Предложение ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" обозначает, что у каждого человека уже предназначено свое будущее. Человек с юношеских лет знает, кем будет в будущем.
В тексте отец рассказывает сыну своею военную карьеру. Ему нравится офицерская жизнь (19) Именно этим он отличается от всех солдат (17). Я считаю, что отцу не только сабля предрешила его жизненную дорогу, но и желание.
У каждого человека должна быть своя жизненная дорога, по которой он следует на протяжении всей жизни.",2,1
3,"""И таблица умножения превратилась в стихи"".
Я считаю, что смысл финала текста в том, что у девушки был очень красивый голос. Она читала обычные слова и они превращались в стихи.
Во-первых, автор не видел Наилию он предстовлял её себе по голосу. Это доказывают предложения № 7-8.
Во-вторых, у неё был прекрасный голос нетакой как у всех. ""У всех людей в голосе звучит одна струна, в её голосе как бы слышались две: одна звучала низки, густо, а другая - высоко, тонко"".
Таким образом, все что она прозносила было песней.",2,7
4,"Я понимаю смысл финала текста так: герою-рассказчику нравилась Наиля, а особенно её голос, и ему неважно было, что именно она говорит, все слова, которые она говорила, превращались для него в стихи. Попробую доказать эту мысль примерами из текста.
Во-первых, в предложениях 1-6 автор говорит о том, что герой-рассказчик был поражен голосом Наили. Он сравнивал её голос с двумя струнами, которые звучали вместе. Слова, которые говорила Наиля, для героя-рассказчика меняли смысл или он их забывал.
Во-вторых, в предложениях 7-10 автор пишет о том, как герой-рассказчик по голосу представляет себе Наилю. Он хотел, чтобы ее голос никогда не умолкал.
В заключении можно сказать, что рассказчик просто хотел слушать прекрасный голос девушки. И для него даже обычная таблица умножения из уст Наили превращалась в стихи.",2,7
5,"Я понимаю смысл финала текста: ""И таблица умножения превратилась в стихи"", как показатель красоты голоса Наили, который отличался от голосов других людей.
Главный герой был поражён голосом девочки, выделив, что у всех людей в нём одна струна, а у Наили - две. Мальчик попросил её прочитать таблицу умножения, чтобы ещё раз послушать красивое звучание голоса девочки, но эта просьба застала Наилю врасплох. Он не смог ей объяснить, что ""её голос менял значение слов и самые обыкновенные слова звучали как только что рождённые"", а она не смогла этого понять.
Красивый голос - редкая особенность человека, способная даже простую таблицу умножения превратить в строки стихов. Цените талант этих людей и помогайте им его развивать!",2,7
41,"В тексте мы читаем: ""Еще подумал я и о том, что красота, видимо, живет в сердце каждого человека и очень важно суметь разбудить ее, не дать ей умереть, не проснувшись"". Я понимаю эту фразу следующим образом. Все люди способны замечать мелкие прелести, которые их окружают. И конечно могут разгядеть их красоту. Попробую доказать свою правоту примерами из текста Грибова Юрия Тарасовича.
Во-первых, в предложении N 15,16,19 автор пишет о том, что все кто присутствовал на деревянной барже, начали замечать красоту окружающего мира.
Во-вторых, в предложении N 21-23 писатель рассказывает, как у мужчин и женщин появилось вдохновение, которое они прочувствовали с помощью пения.
Таким образом, я доказала, что всех людей объединяет природа и все мы перед ней равны и вправе только наслаждаться ее красотой.",2,3
42,"Смысл фразы в преджложении 25 я понимаю так, понятие красоты есть в каждом живом человеке, но нужно суметь разбудить ее. Сейчас я аргументирую свое мнение примерами из текста.
Первый аргумент представлен в предложении под номерами 10-17. Стоило обычным, рабочим людям увидеть красоту данной природы, как тут же в них проснулось чувство красоты по отношению к природе.
Вторым аргументом могут послужить предлоджения 19-23.Красота данной природы, сблизила людей. Они все открыли свое сердце, выпустили свои внутренние чувства наружу.
Подводя итоги, анализируя выше сказанные мной слова крастота - это состояние человека, когда он полностью погружен в объект, который ему нравится. В это время он не замечает каких-либо деффектов.",2,3
43,"Смысл финала текста Ю.Т. Грибова я понимаю так: каждый человек душевно красив, но не всегда это явно видно. Лишь природа смогла заставить героев показать эту красоту. Докажем эту мысль примерами из текста.
Автор описал состояние природы и людей вокруг них. Оказалось, что люди были равнодушны по отношению к невзрачным пейзажам. Никакой вечной красоты в них видно не было, только лень и безразличие ко всему чувствовали эти люди (предложения 11-13).
Но когда пассажиры вдруг увидели прекрасные пейзажи, то начали восхищаться ими. Красота природы пробудила в них душевную красоту, а еще вдохновила и сблизила героев (предложения 19,23,24).
В заключание хочется сказать, что очень важно пробудить в себе душевную красоту, ведь тогда человек почувствует любовь, к нему придет вдохновение. В своем тексте Ю.Т. Грибов доказал, что разбудить эту красоту способна природа.",2,3
53,"Красота - понятие, которым можно описать совершенно разные вещи. Для каждого человека она имеет свое собственное значение. Смысл данного фрагмента я понимаю так: красота есть внутри каждого человека и главная цель - суметь пробудить ее в нужный момент.
В представленном тексте, в первыю очередь, говорится о вечности природной красоты: ""Пройдет сто лет, люди придумают новые машины, побывают на Марсе, а леса будут такими же"". Я считаю правильным это суждение, ведь человек сам является частью природы и он просто не может жить без нее. 
Во-вторых, здесь говорится о могуществе и силе природной красоты: ""Рабочие отложили карты, а женщины перестали есть. Несколько минут стояла тишина"".  Почему же у столь разных людей была одинаковая реакция? Все потому, что природная красота может сблизить даже совсем не знакомых друг с другом людей. 
Исходя из этих рассуждений, можно сказать следующее: хотя для каждого человека красота своя, природная красота объединяет всех людей вместе.",2,3
