iter	Passed	Remaining
0	622	466286
1	996	372739
2	1368	340853
3	1705	317998
4	2228	332019
5	2836	351688
6	3257	345734
7	3680	341329
8	4013	330406
9	4393	325129
10	4674	314048
11	5032	309470
12	5397	306015
13	5737	301602
14	6045	296238
15	6434	295196
16	6776	292179
17	7098	288672
18	7407	285006
19	7728	282089
20	8024	278550
21	8381	277362
22	8665	273892
23	8933	270228
24	9315	270141
25	9662	269069
26	10023	268408227	10343	266717
28	10637	264465229	10884	261233330	11126	258068331	11386	255492332	11680	253775333	12042	25359234	12303	251352
35	12660	251101
336	13052	25153037	13384	250776
38	13796	251517
39	14191	251900
40	14524	251161
41	14850	250341
42	15221	250265
43	15543	249409
44	15858	248455
45	16126	246803
46	16435	245840
47	16743	244874
48	17059	244055
49	17461	244459
50	17802	243994
51	18115	243168
52	18435	242442
53	18957	244345
54	19278	243608
55	19593	242822
56	19901	241960
57	20173	240690
58	20435	239333
59	20678	237804
60	20974	236910
61	21220	235483
62	21467	234094
63	21731	232931
64	22031	232172
65	22325	231369
66	22644	230842
67	22924	229922
68	23176	228740
69	23444	227746
70	23756	227195
71	24093	226882
72	24435	226613
73	24658	225255
74	24883	223953
75	25152	223066
76	25459	222521
77	25744	221800
78	26095	221644
79	26432	221372
80	26700	220523
81	26998	219935
82	27327	219610
83	27566	218559
84	27929	218506
85	28265	218234
86	28636	218227
87	28960	217863
88	29344	217941
89	29678	217645
90	30050	217620
91	30388	217343
92	30642	216472
93	30864	215393
94	31206	215160
95	31480	214463
96	31720	213541
97	31935	212466
98	32201	211751
99	32471	211064
100	32784	210665
101	33047	209947
102	33309	209233
103	33516	208187
104	33745	207294
105	34007	206614
106	34262	205894
107	34551	205387
108	34788	204579
109	35019	203750
110	35422	203921
111	35660	203139
112	35927	202528
113	36241	202191
114	36515	201630
115	36807	201174
116	37067	200546
117	37350	200048
118	37686	199833
119	37939	199181
120	38218	198673
121	38436	197854
122	38718	197371
123	38992	196851
124	39298	196493
125	39583	196031
126	39804	195259
127	40032	194534
128	40373	194355
129	40748	194338
