Year;GDP at market prices;Imports;Exports;Consumption: Private consumption;Consumption: Public consumption;Total fixed investments;Total Value Added;Net Indirect Taxes;Value added: agriculture;Value added: Industry including energy;Total supply;Value added: industry Constructions;Value added:Total Industry;Value added: Services;Total consumption;Constructions;Other fixed investments;Inventoryvariation;Total investments;Total uses
1950;5061.77067;516.3984683;454.8620289;3532.350088;572.0597464;1044.822946;4435.142453;626.6282167;1296.767041;1271.910632;5578.169138;208.6398289;1480.550461;1657.824952;4104.409835;352.8594284;691.9635175;-25.92567124;1018.897275;5578.169138
1951;6011.069737;758.917403;659.0656262;4185.629525;677.0749947;1234.066578;5255.826925;755.2428122;1358.430901;1605.697728;6769.98714;268.1953531;1873.893081;2023.502943;4862.70452;459.9947321;774.0718462;14.15041583;1248.216994;6769.98714
1952;6505.266311;821.8505686;607.2801575;4515.465538;755.192616;1416.788025;5659.538886;845.7274248;1362.813727;1656.453823;7327.116879;328.8099938;1985.263816;2311.461342;5270.658155;561.4055987;855.3824261;32.39054232;1449.178567;7327.116879
1953;7227.473291;867.8917823;703.7952638;4934.367869;802.8050182;1624.436576;6287.522294;939.9509973;1557.056353;1773.860919;8095.365073;392.5006726;2166.361592;2564.104348;5737.172887;678.8616577;945.5749185;29.96034597;1654.396922;8095.365073
1954;7727.142426;858.7582557;760.0128513;5108.907617;909.1198791;1799.027022;6661.989442;1065.152984;1507.317232;1903.886489;8585.900682;453.8429708;2357.72946;2796.942751;6018.027496;794.0212041;1005.005818;8.833312166;1807.860335;8585.900682
1955;8532.995158;954.8712652;854.0339644;5550.217413;1011.901447;2062.006546;7399.400689;1133.59447;1617.273327;2079.519417;9487.866424;534.0208806;2613.540297;3168.587064;6562.11886;963.6520629;1098.354483;9.707053157;2071.713599;9487.866424
1956;9320.122573;1116.985718;994.4055215;6043.02589;1120.093172;2202.680432;8065.517372;1254.605202;1654.580005;2245.9528;10437.10829;580.0917549;2826.044555;3584.892812;7163.119062;1042.566796;1160.113636;76.90327566;2279.583707;10437.10829
1957;10036.28421;1302.028915;1206.511453;6346.232664;1202.483231;2427.730614;8725.850223;1310.433991;1650.582891;2443.703448;11338.31313;664.8363392;3108.539787;3966.727545;7548.715895;1208.374453;1219.356161;155.3551673;2583.085781;11338.31313
1958;10849.32731;1183.178845;1231.24922;6804.581662;1350.729201;2657.393744;9500.505564;1348.821748;1827.440768;2593.633914;12032.50616;734.4164147;3328.050329;4345.014466;8155.310863;1338.410949;1318.982795;-11.44766946;2645.946074;12032.50616
1959;11551.97056;1237.014526;1361.757781;7078.803042;1469.344566;2928.451464;10151.0771;1400.893451;1753.918375;2834.646482;12788.98508;793.5114048;3628.157887;4769.000842;8548.147608;1470.811843;1457.639621;-49.3717723;2879.079692;12788.98508
