iter	Passed	Remaining
0	13	1365
1	25	1225
2	34	1109
3	44	1078
4	55	1062
5	67	1057
6	81	1078
7	98	1127
8	123	1245
9	135	1222
10	147	1194
11	160	1174
12	172	1154
13	182	1121
14	192	1093
15	203	1066
16	214	1047
17	227	1035
18	240	1026
19	254	1019
20	269	1013
21	284	1008
22	331	1110
23	344	1091
24	358	1074
25	374	1065
26	387	1047
27	398	1025
28	410	1004
29	422	985
30	434	967
31	446	949
32	458	930
33	471	914
34	483	897
35	497	884
36	510	869
37	525	857
38	539	844
39	553	830
40	567	817
41	580	801
42	598	793
43	613	780
44	625	764
45	636	747
46	649	732
47	662	717
48	673	700
49	687	687
50	699	671
51	712	657
52	724	642
53	737	628
54	750	613
55	763	600
56	775	585
57	793	574
58	806	560
59	823	548
60	837	535
61	853	522
62	869	510
63	886	498
64	911	491
65	932	480
66	953	469
67	971	456
68	986	443
69	1007	431
70	1026	419
71	1044	406
72	1062	393
73	1081	380
74	1100	366
75	1119	353
76	1136	339
77	1153	325
78	1173	312
79	1191	297
80	1215	285
81	1232	270
82	1243	254
83	1258	239
84	1270	224
85	1284	209
86	1299	194
87	1311	178
88	1333	164
89	1350	150
90	1368	135
91	1387	120
92	1399	105
93	1409	89
94	1422	74
95	1434	59
96	1447	44
97	1459	29
98	1471	14
99	1483	0
